LANGUAGE, English, Russian, French
STR_RALLYPOINT_NO, "No placed rallypoint", "Нет установленной точки сбора", "Pas de point de ralliement disponible"

STR_PILOTGEARRESTRICTION, "The cockpit is no place for your equipment", "В кабине нет места для вашего снаряжения", "Le cockpit est pas de place pour votre équipement"
STR_PILOTRESTRICTION, "Only the pilot can control this vehicle", "Только пилот может управлять этой техникой", "Seul le pilote peut contrôler ce véhicule"

DAP_CARGO_ACT_GETON, "Sit on armor", "На броню", "Assis sur l'armure"
DAP_CARGO_INF_NOPOS, "No free positions", "Нет свободных мест", "Pas de positions libres"

STR_RECRUITING, "Recruiting", "Набрать взвод", "Recruter"
STR_NOSQUADASSIGNED, "You can not lead the squad", "Вы не можете командовать взводом", "Vous ne pouvez pas diriger l'équipe"
STR_ALREADYHAVESQUAD, "You already have squad", "У вас уже есть взвод", "Vous avez déjà une équipe"

STR_ACTION_SITONCHAIR, "Sit on chair", "Сесть на стул", "S'asseoir sur une chaise"
STR_ACTION_INFO_CHAIRUSED, "The chair is already occupied", "Место уже занято", "La place est déjà prise"

STR_ORDER_MOVEAWAY, "Order move away", "Приказать уйти", "l'ordre de quitter" 
STR_IED_DISARM, "Disarm", "Обезвредить", "Désarmer"

STR_ACT_HIDE_RIFLE, "Hide Weapon", "Спрятать оружие", "Cacher l'arme"
STR_ACT_UNHIDE_RIFLE, "Unhide Weapon", "Достать оружие", "Reprendre l'arme"
STR_ACT_HIDE_PISTOL, "Hide handgun", "Спрятать пистолет", "Cacher l'arme de poing" 
STR_ACT_UNHIDE_PISTOL, "Unhide handgun", "Достать пистолет", "Reprendre l'arme de poing"

STR_ACT_ANOTHERRIFLE, "You already has weapon", "У вас уже есть оружие", "Vous avez déjà une arme"
STR_ACT_ANOTHERHIDDENRIFLE, "You already has hidden weapon", "У вас уже есть спрятанное оружие", "Vous avez déjà caché une arme"
STR_ACT_ANOTHERPISTOL, "You already has handgun", "У вас уже есть пистолет", "Vous avez déjà une arme de poing"
STR_ACT_ANOTHERHIDDENPISTOL, "You already has hidden handgun", "У вас уже есть спрятанный пистолет", "Vous avez déjà caché une arme de poing"

dragger.sqf0, "Drop", "Прекратить тащить", "Drop"
BC_addActions.sqf13, "Drag", "Тащить", "Drag"

STR_ACT_BANDAGE, "Bandage", "Перевязка", "Bandage"

STR_ACT_SUICIDE, "Suicide", "Самоподрыв", "Suicide"
STR_ACT_TAKBIR, "Allahu Akbar!", "Аллах Акбар!", "Allahu Akbar !"

STR_ACT_DEFENDCACHE, "Move to attacked cache", "Выдвинуться на защиту схрона", "Se déplacer à la cache d'armes attaquée"
STR_ACT_DEFENDCACHE_MESSAGE, "Americans near cache!", "Американцев заметили около схрона!", "Américains près d'une cache !"
STR_ACT_NOATTACKEDCACHES, "No attacked caches", "Нет схронов, нуждающихся в обороне", "Pas de caches d'armes attaquées"
STR_ACT_ATTACKEDCACHEISREVEALED, "Cache was revealed by enemy", "Американцы уже обнаружили схрон", "Une cache d'armes a été trouvé par l'ennemi"

STR_DAP_CACHE_DESTROYED, "Cache is destroyed", "Схрон мятежников уничтожен", "Une cache d'armes a été détruite"

STR_DAP_BF_MISSION_STATUS, "Mission Status", "Статус миссии", "Status de la mission"
STR_DAP_BF_MISSION_STATUS_TEXT,"Caches destroyed: ", "Схронов уничтожено: ", "Caches d'armes détruites : "

STR_DAP_BF_SQUAD_STATUS, "Squad Status", "Статус взвода", "Status de l'équipe"
STR_DAP_BF_SQUAD_MEMBERS,"Squad members: ", "Бойцы взвода: ", "Membre de l'équipe : "
STR_DAP_BF_SQUAD_LEADER,"Squad leader:", "Командир взвода:", "Chef d'équipe :"
STR_DAP_BF_SQUAD_SLOTSUSED,"Slots used: ", "Слотов заполнено: ", "Place utilisée : "

STR_DAP_INTERROGATE, "Interrogate", "Допросить", "Interroger"
STR_DAP_INTERROGATE_NOINFO, "Insurgents leader does not have necessary information", "Полевой командир не обладает нужной информацией", "Le chef des insurgés ne dispose pas d'informations utiles"
STR_DAP_INTERROGATE_INFORECIVED, "Recived information about insurgents cache", "Получена информация о схроне мятежников", "Informations sur une cache d'armes reçu"


STR_DAP_BF_OPTIONS_ACTION, "Options", "Опции", "Options"
STR_DAP_BF_OPTIONS, "OPTIONS", "ОПЦИИ", "OPTIONS"
STR_DAP_BF_OPTIONS_CLOSE, "ACCEPT", "ПРИНЯТЬ", "ACCEPTER"
STR_DAP_BF_OPTIONS_VDLABEL, "VIEW DISTANCE", "ДАЛЬНОСТЬ", "DISTANCE DE VUE"
STR_DAP_BF_OPTIONS_TQLABEL, "TERRAIN QUALITY", "ТРАВА", "QUALITÉ DU TERRAIN"

STR_DAP_BF_OPTIONS_TQ_VLOW, "VERY LOW", "ОЧ. НИЗКО", "TRÈS FAIBLE"
STR_DAP_BF_OPTIONS_TQ_LOW, "LOW", "НИЗКО", "FAIBLE"
STR_DAP_BF_OPTIONS_TQ_MED, "MEDIUM", "НОРМАЛЬНО", "MOYEN"
STR_DAP_BF_OPTIONS_TQ_HIGH, "HIGH", "ХОРОШО", "HAUT"
STR_DAP_BF_OPTIONS_TQ_VHIGH, "VERY HIGH", "ОЧ. ХОРОШО", "TRÈS HAUT"

STR_ACT_CALLUAV, "UAV request", "Запрос БПЛА", "Demander un drone"
STR_ACT_UAVNOORIENTIR, "No landmark for UAV", "Нет ориентира для БПЛА", "Pas de point de repère pour le drone"

STR_UAVREQUEST, "REQUESTING UAV OVERFLY. OVER", "ЗАПРАШИВАЮ ВОЗДУШНУЮ РАЗВЕДКУ. ПРИЕМ", "DEMANDE DE SURVOL DU DRONE. TERMINÉ"
STR_UAVREADY, "SQUADLEADERS. UAV SUPPORT IS AVALIBLE", "БЕСПИЛОТНИК ГОТОВ", "CHEF D'ÉQUIPE. LE DRONE EST DISPONIBLE"
STR_UAVSTART, "UAV HAS BEEN LAUNCHED", "БПЛА В ВОЗДУХЕ", "LE DRONE A ÉTÉ LANCÉ"
STR_UAV, "UAV ONLINE AND TRANSMITTING", "БПЛА НАЧИНАЕТ ПЕРЕДАЧУ ДАННЫХ", "DRONE EN LIGNE ET TRANSMISSION"
STR_UAVEND, "UAV OFFLINE", "СВЯЗЬ С БПЛА ПРЕРВАНА", "DRONE HORS LIGNE"
STR_UAVDENIED, "UAV SUPPORT DENIED. OVER", "ВОЗДУШНАЯ РАЗВЕДКА НЕВОЗМОЖНА. ПРИЕМ", "SOUTIEN DU DRONE REFUSÉ. TERMINÉ"
STR_UAVDENIED_ALT, "NEGATIVE. UAV ALREADY AIRBORNE", "ЗАПРОС ОТКЛОНЕН. БПЛА УЖЕ В ВОЗДУХЕ. ПРИЕМ", "NÉGATIF. DRONE DÉJÀ EN VOL"

STR_TRANSPORTREQUEST, "REQUESTING A PICK UP. OVER", "ЗАПРАШИВАЮ ТРАНСПОРТ. ПРИЕМ", "DEMANDE DE TRANSPORT. TERMINÉ"
STR_TRANSPORTDENIED, "UNABLE TO COMPLY. OVER", "ЗАПРОС ОТКЛОНЕН. ПРИЕМ", "IMPOSSIBLE. TERMINÉ"
STR_TRANSPORT_START, "AFFIRMATIVE. A VEHICLE IS ON THE WAY", "ВАС ПОНЯЛ. ТЕХНИКА В ПУТИ.", "AFFIRMATIF, UN VÉHICULE EST EN ROUTE"

STR_COM_TRN, "Transport", "Транспорт", "Transport"
STR_COM_EVAC, "Evacuation", "Эвакуация", "Évacuation"

STR_SL_TRN, "Transport request", "Запрос транспорта", "Demande de transport"
STR_BF_EVAC, "Evac request", "Запрос эвакуации", "Demande d'évacuation"

STR_BF_MP_TIMELIMIT, "TIME LIMIT:", "ОГРАНИЧЕНИЕ ПО ВРЕМЕНИ:", "TEMPS LIMITE :"
STR_BF_MP_CACHESNUMBER, "CACHES COUNT:", "ЧИСЛО СХРОНОВ:", "NOMBRE DE CACHES :"
STR_BF_MP_DRAWDISTANCE, "VIEW DISTANCE:", "ДАЛЬНОСТЬ ПРОРИСОВКИ:", "DISTANCE DE VUE :"
STR_BF_MP_GROUNDQUALITY, "TERRAIN QUALITY:", "КАЧЕСТВО ПОВЕРХНОСТИ:", "QUALITÉ DU TERRAIN :"

STR_BF_MP_ENABLEPLAYERMARKERS, "PLAYERS MARKERS:", "МАРКЕРЫ ИГРОКОВ:", "MARQUEURS DES JOUEURS :"
STR_BF_MP_ENABLEPM_NO, "DISABLED", "ОТКЛЮЧЕНО", "DÉSACTIVER"
STR_BF_MP_ENABLEPM_PLAYER, "PLAYER", "ИГРОК", "JOUEUR"
STR_BF_MP_ENABLEPM_SQUAD, "SQUAD", "ВЗВОД", "ÉQUIPE"
STR_BF_MP_ENABLEPM_TEAM, "TEAM", "КОМАНДА", "CAMP"

STR_BF_MP_ENABLEAI, "ENABLE AI:", "ПОДДЕРЖКА АИ:", "ACTIVER LES IA :"
STR_BF_MP_UNLIMITEDAMMO, "UNLIMITED AMMO AI:", "БЕСКОНЕЧНЫЕ БОЕПРИПАСЫ АИ:", "MUNITIONS DES IA NON LIMITÉ :"

STR_BF_MP_RESPAWNTIME, "RESPAWN TIME:", "ВРЕМЯ ДО ВОЗРОЖДЕНИЯ:", "TEMPS DE RÉAPPARITION :"
STR_BF_MP_MISSIONTIME, "MISSION TIME:", "ВРЕМЯ НАЧАЛА МИССИИ:", "TEMPS DE MISSION :"

STR_BF_MP_WEATHER, "WEATHER:", "ПОГОДА:", "TEMPS:"
STR_BF_MP_W_RANDOM, "RANDOM", "СЛУЧАЙНО", "ALEATOIRE"
STR_BF_MP_W_CLEAR, "CLEAR", "ЯСНО", "CLAIR"
STR_BF_MP_W_CLOUDSL, "SLIGHTLY CLOUDY", "ОБЛАЧНО", "QUELQUES ECLAIRCIES"
STR_BF_MP_W_CLOUDSH, "CLOUDY", "ПАСМУРНО", "NUAGEUX"
STR_BF_MP_W_RAIN, "RAIN", "ДОЖДЬ", "PLUIE"
STR_BF_MP_W_STORM, "STORM", "ГРОЗА", "TEMPETE"

STR_BF_MP_ENABLE_TRUE, "YES", "ДА", "OUI"
STR_BF_MP_ENABLE_FALSE, "NO", "НЕТ", "NON"

STR_DAP_TIMER_CAPTION_NAME, "TIME ELAPSED:", "ВРЕМЕНИ ОСТАЛОСЬ:", "TEMPS ÉCOULÉ :"

STR_TIME_UNLIMITED, "UNLIMITED", "НЕОГРАНИЧЕННО", "NON LIMITÉ"

STR_PUNISHMENT_INFO_USATEAMKILL, "You were arrested for the murder of U.S. Army soldier", "Вы были арестованы за убиство солдата Армии США", "Vous avez été arrêté pour l'assassinat d'un soldat de l'Armée des États-Unis"

STR_PUNISHMENT_INFO_SUICIDE, "You were arrested for attempted suicide three times", "Вы были арестованы за трехкратную попытку суицида", "Vous avez été arrêté pour les trois tentatives de suicide"
STR_PUNISHMENT_INFO_VEHICLESTEAL,"You were arrested by soldiers of the U.S. Army\nfor attempted theft of a vehicle owned by the U.S. Army", "Вы были арестованы солдатами Армии США\nпри попытке угона транспортного средства принадлежащего Армии США", "Vous avez été arrêté par des soldats de l'armée américaine\npour la tentative de vol d'un véhicule appartenant à l'armée américaine"
STR_PUNISHMENT_INFO_WARLORDKILL,"You were shot for attempting to kill warlord", "Вы были расстреляны за покушение на полевого командира", "Vous avez été fusillé pour avoir tenté de tuer le seigneur de guerre"
STR_PUNISHMENT_INFO_GLOBALBAN, "You have been permanently blocked for violations of the rules of the game", "Вы были перманентно заблокированы за грубые нарушения правил игры", "Vous avez été bloqué de façon permanente pour les violations des règles du jeu"

STR_DAP_INSURGENTSLIMITINFO, "To maintain a balance, in mission included restriction on the ratio of players who play for different teams.\n\nCurrent ratio:\n\n1 OPFOR vs 3 BLUFOR.\n\nIn any time you can change side and start playing.\n ", "Для сохранения баланса в этой миссии включено ограничение по соотношению игроков, играющих за разные команды.\n\nТекущее соотношение:\n\n1 мятежник на 3 американца\n\n Вы в любое время можете перейти в команду американцев и начать игру.\n ", "Afin maintenir un équilibre, la mission comprent des restrictions sur le nombre de joueur qui jouent pour des équipes différentes.\n\nLe ratio de : \n\n1 OPFOR vs 3 BLUFOR.\n\nEn tout temps vous pouvez changer de côter et commencer à jouer.\n"

STR_TEXT_INTELTITLE, "Situation", "Ситуация", "Situation"
STR_TEXT_INTELTEXT_WEST, "SITUATION:<br/><br/>After general Hugram's death on Altis gained strength the movement of radical Islamists. Local people, the most part, feels sympathy to the insurgents. The situation getting more and more tense. Observed of increasing number of terrorist acts and armed attacks on posts and patrols of the U.S. Army. To stabilize the situation in the region urgently need to clamp down all armed groups of rebels and cut off supply lines of weapons and ammunition.", "СИТУАЦИЯ:<br/><br/>После смерти генерала Хуграма на Алтисе набрало силу движение радикальных исламистов. Местное население, в своем большинстве, сочувствует мятежникам. Обстановка все более и более накаляется. Участились случаи террористических актов и вооруженного нападения на посты и патрули Армии США. Для стабилизации ситуации в регионе необходимо срочно пресечь деятельность вооруженных групп мятежников, перекрыть каналы поставок оружия и боеприпасов.", "SITUATION:<br/><br/>Après la mort de général Hugram, le Altis acquis la force du mouvement des islamistes radicaux. Les populations locales, la plupart, éprouve de la sympathie pour les insurgés. La situation est de plus en plus dangereuse. Augmentation du nombre d'actes terroristes et des attaques armées sur les postes et les patrouilles de l'armée américaine. Pour stabiliser la situation dans la région un besoin urgent de mettre un frein à tous les groupes armés de rebelles et de couper les lignes d'approvisionnement d'armes et de munitions."
STR_TEXT_INTELTEXT_EAST, "SITUATION:<br/><br/>According to the intelligence, americans are planning to hold a series of operations aimed at eliminating illicit traffic of arms and ammunition, as well as clamping down activity of local insurgents. In region was sent a special group to support local insurgents.", "СИТУАЦИЯ:<br/><br/>По сведениям разведки силы американцев планируют провести ряд операций нацеленных на ликвидацию незаконного траффика оружия и боеприпасов, а также на пресечение деятельности местных вооруженных формирований. В регион была направлена специальная группа для оказания поддержки местным повстанцам и проведения операций по дальнейшей дестабилизации ституации.", "SITUATION:<br/><br/>Selon le renseignement, les Américains envisagent d'organiser une série d'opérations visant à éliminer le trafic illicite d'armes et de munitions, ainsi que réprimer l'activité des insurgés locaux."

STR_TEXT_BRIEFINGTITLE, "Tasks", "Задачи", "Tâches"
STR_TEXT_BRIEFINGTEXT_WEST, "TASKS:<br/><br/>Find and destroy all weapon caches, thus cause cutting the main supply lines of weapons.<br/><br/>Neutralize the most influential field commanders.<br/><br/>", "ЗАДАЧИ:<br/><br/>Найти и уничтожить все схроны мятежников, перекрывая тем самым основные пути поставок оружия.<br/><br/>Нейтрализовать наиболее влиятельных полевых командиров.<br/><br/>", "TACHES :<br/><br/>Trouvez et détruisez toutes les caches d'armes, ainsi provoquer la coupure des principales lignes de ravitaillement d'armes.<br/><br/>Neutralisez les commandants les plus influents.<br/><br/>"
STR_TEXT_BRIEFINGTEXT_EAST, "TASK:<br/><br/>Group of special forces, acting covertly under the guise of insurgents, must prevent all actions of the american forces and assist local insurgents in further destabilisation of situation in the region.", "ЗАДАЧА:<br/><br/>Группа особого назначения, действуя скрытно под видом местных повстанцев, должна противодействовать силам американцев и оказывать помощь местным вооруженным формированиям в дальнейшей дестабилизвации обстановки в регионе.", "TACHE :<br/><br/>Groupe de forces spéciales, agissant sous le couvert d'insurgés, doit prévenir toutes les actions des Américains et d'aider les insurgés locaux dans une nouvelle déstabilisation de la situation dans la région.<br/><br/>"

STR_TEXT_INFORMATIONTITLE, "Mission description", "Описание миссии", "Description de la Mission"
